,message,label
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",nonspam
1,Ok lar... Joking wif u oni...,nonspam
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
3,U dun say so early hor... U c already then say...,nonspam
4,"Nah I don't think he goes to usf, he lives around here though",nonspam
5,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam
6,Even my brother is not like to speak with me. They treat me like aids patent.,nonspam
7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,nonspam
8,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",nonspam
11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
12,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,nonspam
14,I HAVE A DATE ON SUNDAY WITH WILL!!,nonspam
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
16,Oh k...i'm watching here:),nonspam
17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,nonspam
18,Fine if thats the way u feel. Thats the way its gota b,nonspam
19,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam
20,Is that seriously how you spell his name?,nonspam
21,I‘m going to try for 2 months ha ha only joking,nonspam
22,So ü pay first lar... Then when is da stock comin...,nonspam
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,nonspam
24,Ffffffffff. Alright no way I can meet up with you sooner?,nonspam
25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,nonspam
26,Lol your always so convincing.,nonspam
27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,nonspam
28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",nonspam
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,nonspam
30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",nonspam
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,nonspam
32,K tell me anything about you.,nonspam
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,nonspam
34,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
35,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,nonspam
36,"Oops, I'll let you know when my roommate's done",nonspam
37,I see the letter B on my car,nonspam
38,Anything lor... U decide...,nonspam
39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,nonspam
40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,nonspam
41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",nonspam
42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
43,WHO ARE YOU SEEING?,nonspam
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,nonspam
45,No calls..messages..missed calls,nonspam
46,Didn't you get hep b immunisation in nigeria.,nonspam
47,"Fair enough, anything going on?",nonspam
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",nonspam
49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,nonspam
50,What you thinked about me. First time you saw me in class.,nonspam
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",nonspam
52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,nonspam
53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",nonspam
54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,nonspam
